date,month,year,axis,origin,destination,number_of_trains_scheduled,number_of_train_canceled,trains_late_at_destination,number_of_trains_actual,percentage_trains_canceled,reliability,line
2018-05,5,2018,Intercites,clermont-ferrand,paris,193.0,2.0,29.0,191.0,1.04,84.8,clermont-ferrand:paris
2018-05,5,2018,Intercites,bordeaux-st-jean,nantes,75.0,5.0,6.0,70.0,6.67,91.4,bordeaux-st-jean:nantes
2018-05,5,2018,Intercites,paris,toulouse,7.0,0.0,1.0,7.0,0.0,85.7,paris:toulouse
2018-05,5,2018,Intercites,albi,paris,6.0,0.0,0.0,6.0,0.0,100.0,albi:paris
2018-05,5,2018,Intercites,briancon,paris,9.0,0.0,2.0,9.0,0.0,77.8,briancon:paris
2018-06,6,2018,Intercites,paris,st-quentin,90.0,2.0,20.0,88.0,2.22,77.3,paris:st-quentin
2018-06,6,2018,Intercites,caen,paris,160.0,6.0,31.0,154.0,3.75,79.9,caen:paris
2018-06,6,2018,Intercites,le-havre,paris,261.0,6.0,70.0,255.0,2.3,72.5,le-havre:paris
2018-06,6,2018,Intercites,paris,maubeuge/cambrai,126.0,0.0,28.0,126.0,0.0,77.8,paris:maubeuge/cambrai
2018-06,6,2018,Intercites,paris,clermont-ferrand,199.0,0.0,31.0,199.0,0.0,84.4,paris:clermont-ferrand
2018-06,6,2018,Intercites,nantes,bordeaux-st-jean,83.0,1.0,12.0,82.0,1.2,85.4,nantes:bordeaux-st-jean
2018-06,6,2018,Intercites,bordeaux-st-jean,marseille-st-charles,159.0,1.0,56.0,158.0,0.63,64.6,bordeaux-st-jean:marseille-st-charles
2018-06,6,2018,Intercites,brive,paris,159.0,1.0,19.0,158.0,0.63,88.0,brive:paris
2018-06,6,2018,Intercites,toulouse,paris,84.0,0.0,13.0,84.0,0.0,84.5,toulouse:paris
2018-07,7,2018,Intercites,paris,caen,190.0,1.0,35.0,189.0,0.53,81.5,paris:caen
2018-07,7,2018,Intercites,boulogne,paris,152.0,7.0,34.0,145.0,4.61,76.6,boulogne:paris
2018-07,7,2018,Intercites,maubeuge,paris,174.0,0.0,26.0,174.0,0.0,85.1,maubeuge:paris
2018-07,7,2018,Intercites,paris,granville,171.0,5.0,21.0,166.0,2.92,87.3,paris:granville
2018-07,7,2018,Intercites,clermont-ferrand,paris,216.0,1.0,36.0,215.0,0.46,83.3,clermont-ferrand:paris
2018-07,7,2018,Intercites,bordeaux-st-jean,marseille-st-charles,232.0,11.0,90.0,221.0,4.74,59.3,bordeaux-st-jean:marseille-st-charles
2018-07,7,2018,Intercites,paris,brive,206.0,7.0,51.0,199.0,3.4,74.4,paris:brive
2018-07,7,2018,Intercites,paris,albi,25.0,2.0,5.0,23.0,8.0,78.3,paris:albi
2018-07,7,2018,Intercites,paris,latour-de-carol,27.0,3.0,2.0,24.0,11.11,91.7,paris:latour-de-carol
2018-08,8,2018,Intercites,paris,st-quentin,122.0,0.0,19.0,122.0,0.0,84.4,paris:st-quentin
2018-08,8,2018,Intercites,rouen-rive-droite,paris,250.0,4.0,20.0,246.0,1.6,91.9,rouen-rive-droite:paris
2018-08,8,2018,Intercites,paris,maubeuge/cambrai,171.0,1.0,19.0,170.0,0.58,88.8,paris:maubeuge/cambrai
2018-08,8,2018,Intercites,granville,paris,174.0,1.0,26.0,173.0,0.57,85.0,granville:paris
2018-08,8,2018,Intercites,paris,granville,166.0,1.0,13.0,165.0,0.6,92.1,paris:granville
2018-08,8,2018,Intercites,clermont-ferrand,beziers,36.0,0.0,3.0,36.0,0.0,91.7,clermont-ferrand:beziers
2018-08,8,2018,Intercites,bordeaux-st-jean,nantes,92.0,1.0,13.0,91.0,1.09,85.7,bordeaux-st-jean:nantes
2018-08,8,2018,Intercites,bordeaux-st-jean,marseille-st-charles,241.0,15.0,63.0,226.0,6.22,72.1,bordeaux-st-jean:marseille-st-charles
2018-08,8,2018,Intercites,marseille-st-charles,bordeaux-st-jean,241.0,21.0,72.0,220.0,8.71,67.3,marseille-st-charles:bordeaux-st-jean
2018-08,8,2018,Intercites,toulouse,paris,31.0,1.0,1.0,30.0,3.23,96.7,toulouse:paris
2018-08,8,2018,Intercites,albi,paris,29.0,0.0,1.0,29.0,0.0,96.6,albi:paris
2018-08,8,2018,Intercites,briancon,paris,30.0,0.0,3.0,30.0,0.0,90.0,briancon:paris
2018-09,9,2018,Intercites,paris,le-havre,340.0,2.0,57.0,338.0,0.59,83.1,paris:le-havre
2018-09,9,2018,Intercites,paris,granville,158.0,2.0,10.0,156.0,1.27,93.6,paris:granville
2018-09,9,2018,Intercites,nantes,lyon,59.0,1.0,10.0,58.0,1.69,82.8,nantes:lyon
2018-09,9,2018,Intercites,bordeaux-st-jean,marseille-st-charles,224.0,3.0,45.0,221.0,1.34,79.6,bordeaux-st-jean:marseille-st-charles
